"id","children_ids/id","code","company_id/id","note","name","parent_id/id"
"hr_payroll.BASIC","","BASIC","base.main_company","","Basic",""
"hr_payroll.ALW","","ALW","base.main_company","","Allowance",""
"hr_payroll.GROSS","","GROSS","base.main_company","","Gross",""
"hr_payroll.DED","","DED","base.main_company","","Deduction",""
"hr_payroll.NET","","NET","base.main_company","","Net",""
"__export__.hr_salary_rule_category_7","","ADDT","base.main_company","","Additions (Taxable)",""
"__export__.hr_salary_rule_category_8","","DEDT","base.main_company","","Deductions (Taxable)",""
"__export__.hr_salary_rule_category_9","","EPF_Y","base.main_company","","Contributions - EPF (Employer)",""
"__export__.hr_salary_rule_category_10","","SCS_E","base.main_company","","Contributions - SCS (Employee)",""
"__export__.hr_salary_rule_category_11","","EPF_E","base.main_company","","Contributions - EPF (Employee)",""
"__export__.hr_salary_rule_category_12","","SOCSO_Y","base.main_company","","Contributions - SCS (Employer)",""
"__export__.hr_salary_rule_category_13","","CAT_NETBEFOREMTD","base.main_company","","Net (Before MTD)",""
"__export__.hr_salary_rule_category_14","","CATLHDN","base.main_company","","Contributions - LHDN",""
"__export__.hr_salary_rule_category_15","","CATBONUS","base.main_company","","Bonus",""
"hr_payroll.COMP","","COMP","base.main_company","","Company Contribution",""
